Country,Code,Year,GDP
Afghanistan,AFG,2016,1929
Albania,ALB,2016,10342
Algeria,DZA,2016,14331
Angola,AGO,2016,8453
Argentina,ARG,2016,18875
Armenia,ARM,2016,10080
Australia,AUS,2016,48845
Austria,AUT,2016,41445
Azerbaijan,AZE,2016,16645
Bahrain,BHR,2016,41078
Bangladesh,BGD,2016,3604
Barbados,BRB,2016,12003
Belarus,BLR,2016,17628
Belgium,BEL,2016,38766
Benin,BEN,2016,2080
Bolivia,BOL,2016,6355
Bosnia and Herzegovina,BIH,2016,9746
Botswana,BWA,2016,15198
Brazil,BRA,2016,13873
Bulgaria,BGR,2016,17037
Burkina Faso,BFA,2016,1483
Burundi,BDI,2016,665
Cambodia,KHM,2016,3251
Cameroon,CMR,2016,2828
Canada,CAN,2016,43745
Cape Verde,CPV,2016,6418
Central African Republic,CAF,2016,589
Chad,TCD,2016,2189
Chile,CHL,2016,21696
China,CHN,2016,12569
Colombia,COL,2016,13326
Comoros,COM,2016,1702
Congo,COG,2016,5974
Costa Rica,CRI,2016,14098
Cote d'Ivoire,CIV,2016,3395
Croatia,HRV,2016,20376
Cuba,CUB,2016,8000
Cyprus,CYP,2016,25577
Czechia,CZE,2016,28823
Czechoslovakia,OWID_CZS,2016,27738
Democratic Republic of Congo,COD,2016,836
Denmark,DNK,2016,44836
Djibouti,DJI,2016,3064
Dominica,DMA,2016,9550
Dominican Republic,DOM,2016,14489
East Asia,,2016,15697.93652
Eastern Europe,,2016,19446.35156
Ecuador,ECU,2016,10527
Egypt,EGY,2016,11351
El Salvador,SLV,2016,8280
Equatorial Guinea,GNQ,2016,33317
Estonia,EST,2016,24857
Eswatini,SWZ,2016,7881
Ethiopia,ETH,2016,1635
Finland,FIN,2016,37239
Former Sudan,,2016,3651
France,FRA,2016,37124
Gabon,GAB,2016,18413
Gambia,GMB,2016,1788
Georgia,GEO,2016,10899
Germany,DEU,2016,44689
Ghana,GHA,2016,3878
Greece,GRC,2016,22574
Guatemala,GTM,2016,7221
Guinea,GIN,2016,1417
Guinea-Bissau,GNB,2016,1436
Haiti,HTI,2016,1728
Honduras,HND,2016,4796
Hong Kong,HKG,2016,48330
Hungary,HUN,2016,23279
Iceland,ISL,2016,42085
India,IND,2016,6125
Indonesia,IDN,2016,10911
Iran,IRN,2016,16783
Iraq,IRQ,2016,13898
Ireland,IRL,2016,56597
Israel,ISR,2016,31701
Italy,ITA,2016,33419
Jamaica,JAM,2016,7084
Japan,JPN,2016,37465
Jordan,JOR,2016,11529
Kazakhstan,KAZ,2016,23842
Kenya,KEN,2016,3169
Kuwait,KWT,2016,71010
Kyrgyzstan,KGZ,2016,4879
Laos,LAO,2016,5859
Latin America,,2016,14090.08301
Latvia,LVA,2016,22092
Lebanon,LBN,2016,12972
Lesotho,LSO,2016,2767
Liberia,LBR,2016,829
Libya,LBY,2016,8096
Lithuania,LTU,2016,24743
Luxembourg,LUX,2016,57006
Madagascar,MDG,2016,1381
Malawi,MWI,2016,1112
Malaysia,MYS,2016,23053
Mali,MLI,2016,1594
Malta,MLT,2016,29817
